iteration,F
1,191889860.88211295
2,191920923.74925295
3,191946499.4566072
4,191968335.67340648
5,191987231.48499295
6,192003784.52841118
7,192018451.83067462
8,192031590.2189376
9,192043483.89235976
10,192054363.6908625
11,192064420.86490506
12,192073817.12107176
13,192082692.09158698
14,192091168.98334658
15,192099358.90901414
16,192107364.23445982
17,192115281.1609432
18,192123201.67740127
19,192131214.95621583
20,192139408.21804792
21,192147867.05440497
22,192156675.1699853
23,192165913.49232042
24,192175658.59770414
25,192185980.42519614
26,192196939.30022562
27,192208582.3697716
28,192220939.66118246
29,192234020.10689846
30,192247808.00679022
31,192262260.4959254
32,192277306.6083594
33,192292848.4400335
34,192308764.69722274
35,192324916.58555692
36,192341155.60328463
37,192357332.43902832
38,192373305.93551996
39,192388951.03903845
40,192404164.82860485
41,192418870.06575748
42,192433016.13338193
43,192446577.6341839
44,192459551.21013102
45,192471951.28138527
46,192483805.3919197
47,192495149.7284621
48,192506025.2029989
49,192516474.30603105
50,192526538.7823899
51,192536258.07039964
52,192545668.3805498
53,192554802.26446167
54,192563688.52767932
55,192572352.35945138
56,192580815.5799453
57,192589096.93369815
58,192597212.383601
59,192605175.38038674
60,192612997.09792885
61,192620686.63498154
62,192628251.1900563
63,192635696.21887368
64,192643025.58412522
65,192650241.7059546
66,192657345.7192699
67,192664337.6412591
68,192671216.54971308
69,192677980.77025813
70,192684628.0685776
71,192691155.84231177
72,192697561.30660495
73,192703841.66723904
74,192709994.27586725
75,192716016.7629182
76,192721907.14512837
77,192727663.90619108
78,192733286.05052093
79,192738773.13149452
80,192744125.25660822
81,192749343.0727871
82,192754427.73551765
83,192759380.86562932
84,192764204.49743977
85,192768901.02167177
86,192773473.1261113
87,192777923.7364723
88,192782255.95940292
89,192786473.02906585
90,192790578.25826886
91,192794574.99473485
92,192798466.58278325
93,192802256.33046043
94,192805947.48197716
95,192809543.19519946
96,192813046.52386713
97,192816460.40417707
98,192819787.64535463
99,192823030.92382815
100,192826192.78063175
101,192829275.6216555
102,192832281.72036433
103,192835213.22261035
104,192838072.15315202
105,192840860.42350036
106,192843579.84071657
107,192846232.116797
108,192848818.87831163
109,192851341.67598918
110,192853801.99399558
111,192856201.25869635
112,192858540.84675512
113,192860822.0924722
114,192863046.29431996
115,192865214.72067305
116,192867328.61476728
117,192869389.1989402
118,192871397.6782193
119,192873355.24332362
120,192875263.07314026
121,192877122.33672494
122,192878934.19486713
123,192880699.8012484
124,192882420.30321434
125,192884096.84217882
126,192885730.55367935
127,192887322.56710586
128,192888874.00513253
129,192890385.98288873
130,192891859.60691446
131,192893295.97394696
132,192894696.16959462
133,192896061.26694718
134,192897392.32517633
135,192898690.38817012
136,192899956.48324075
137,192901191.61993667
138,192902396.78897893
139,192903572.96133438
140,192904721.08742854
141,192905842.0964929
142,192906936.89603555
143,192908006.37141848
144,192909051.38552257
145,192910072.7784796
146,192911071.36745206
147,192912047.94644395
148,192913003.2861281
149,192913938.13368237
150,192914853.2126295
151,192915749.2226829
152,192916626.83960265
153,192917486.7150709
154,192918329.4766
155,192919155.72748265
156,192919966.0468009
157,192920760.98950368
158,192921541.0865634
159,192922306.84521893
160,192923058.74930876
161,192923797.2596955
162,192924522.81477702
163,192925235.83108127
164,192925936.70393384
165,192926625.8081885
166,192927303.4990098
167,192927970.11269256
168,192928625.9675091
169,192929271.36456764
170,192929906.58867443
171,192930531.90918696
172,192931147.5808507
173,192931753.84461185
174,192932350.9284022
175,192932939.0478926
176,192933518.4072114
177,192934089.19963032
178,192934651.60821676
179,192935205.80645472
180,192935751.95883757
181,192936290.22143397
182,192936820.74243167
183,192937343.66266096
184,192937859.11610064
185,192938367.2303693
186,192938868.12720317
187,192939361.92292172
188,192939848.72888222
189,192940328.65192246
190,192940801.79479042
191,192941268.25656265
192,192941728.133046
193,192942181.51716387
194,192942628.49932298
195,192943069.1677601
196,192943503.608866
197,192943931.90748426
198,192944354.14718428
199,192944770.41050678
200,192945180.77918008
